epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4019,1.32193,3.34655,1.56522,0.26391,0.45855,0.31581,0.18391,1.27456,2.27518,1.56633,0.000184881,0.000184881,0.000184881
2,115.006,1.2452,2.49439,1.47377,0.46517,0.51322,0.45667,0.28977,1.19643,1.90989,1.49469,0.00036562,0.00036562,0.00036562
3,166.337,1.22051,2.18163,1.45096,0.49408,0.56984,0.53336,0.32484,1.28666,1.69438,1.53539,0.000528315,0.000528315,0.000528315
4,218.263,1.2031,1.94895,1.42981,0.56021,0.61738,0.60062,0.38908,1.18372,1.57858,1.46672,0.000495956,0.000495956,0.000495956
5,297.866,1.15797,1.81559,1.45143,0.60844,0.60409,0.62741,0.41542,1.10845,1.435,1.40492,0.000452377,0.000452377,0.000452377
6,348.824,1.11105,1.58531,1.40229,0.64049,0.62564,0.65741,0.44105,1.11592,1.36007,1.38462,0.000400193,0.000400193,0.000400193
7,399.401,1.05909,1.40032,1.35675,0.63549,0.65344,0.67717,0.47078,1.03087,1.27292,1.32779,0.000342022,0.000342022,0.000342022
8,451.321,1.02281,1.29713,1.32439,0.69584,0.68999,0.73828,0.51065,1.04266,1.15243,1.32141,0.00028078,0.00028078,0.00028078
9,502.895,0.98434,1.17604,1.29579,0.73179,0.72437,0.78304,0.55915,0.9905,1.04651,1.27583,0.000219538,0.000219538,0.000219538
10,554.358,0.94382,1.05262,1.25331,0.76376,0.74852,0.80401,0.57835,0.95678,0.96816,1.24911,0.000161367,0.000161367,0.000161367
11,605.778,0.92044,0.99388,1.24091,0.78314,0.7479,0.82398,0.60153,0.95144,0.90125,1.23238,0.000109183,0.000109183,0.000109183
12,656.879,0.88546,0.90112,1.2126,0.79499,0.79305,0.84632,0.62471,0.92763,0.85075,1.21402,6.56043e-05,6.56043e-05,6.56043e-05
13,708.126,0.86989,0.871,1.19561,0.81275,0.78522,0.84935,0.62704,0.91974,0.83254,1.20963,3.28153e-05,3.28153e-05,3.28153e-05
14,759.187,0.85089,0.83729,1.18029,0.81821,0.78208,0.85269,0.63186,0.91855,0.8176,1.20917,1.24603e-05,1.24603e-05,1.24603e-05
